antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'USB 2.0 Printer cable'}),0.12958272230369283,0.1709105452606319,0.023730169310758567,0.18312757201646093,1.0714819950822727,0.001583115585477378,1.014955856431569
frozenset({'USB 2.0 Printer cable'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.1709105452606319,0.12958272230369283,0.023730169310758567,0.1388455538221529,1.0714819950822727,0.001583115585477378,1.010756295295893
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'Nylon Braided Lightning to USB cable'}),0.12958272230369283,0.09532062391681109,0.023596853752832957,0.1820987654320988,1.9103815937149273,0.011244947814006083,1.1060985579281253
frozenset({'Nylon Braided Lightning to USB cable'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.09532062391681109,0.12958272230369283,0.023596853752832957,0.24755244755244757,1.9103815937149273,0.011244947814006083,1.1567813263064306
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Logitech M510 Wireless mouse'}),0.23836821757099053,0.07145713904812692,0.023596853752832957,0.09899328859060404,1.385351973354703,0.006563742885208515,1.0305615365499374
frozenset({'Logitech M510 Wireless mouse'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.07145713904812692,0.23836821757099053,0.023596853752832957,0.3302238805970149,1.385351973354703,0.006563742885208515,1.1371438311474906
frozenset({'Apple USB-C Charger cable'}),frozenset({'HP 61 ink'}),0.13211571790427942,0.1638448206905746,0.023463538194907346,0.17759838546922302,1.0839426276685449,0.0018170620844741477,1.0167236597492522
frozenset({'HP 61 ink'}),frozenset({'Apple USB-C Charger cable'}),0.1638448206905746,0.13211571790427942,0.023463538194907346,0.14320585842148087,1.0839426276685449,0.0018170620844741477,1.012943763243723
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'10ft iPHone Charger Cable 2 Pack'}),0.23836821757099053,0.05052659645380616,0.023063591521130515,0.09675615212527965,1.9149548735929356,0.01101965678450801,1.051181700025136
frozenset({'HP 61 ink'}),frozenset({'SanDisk Ultra 64GB card'}),0.1638448206905746,0.09825356619117451,0.023063591521130515,0.1407648494711147,1.4326691124597442,0.0069652535863280254,1.049475726468794
frozenset({'SanDisk Ultra 64GB card'}),frozenset({'HP 61 ink'}),0.09825356619117451,0.1638448206905746,0.023063591521130515,0.23473541383989144,1.4326691124597442,0.0069652535863280254,1.0926354027500824
frozenset({'10ft iPHone Charger Cable 2 Pack'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.05052659645380616,0.23836821757099053,0.023063591521130515,0.45646437994722955,1.9149548735929356,0.01101965678450801,1.4012545900028865
frozenset({'HP 61 ink'}),frozenset({'Nylon Braided Lightning to USB cable'}),0.1638448206905746,0.09532062391681109,0.022930275963204905,0.13995117982099267,1.468215104667505,0.007312485429441294,1.0518930493909548
frozenset({'Nylon Braided Lightning to USB cable'}),frozenset({'HP 61 ink'}),0.09532062391681109,0.1638448206905746,0.022930275963204905,0.24055944055944053,1.4682151046675047,0.007312485429441294,1.1010146467886541
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'FEIYOLD Blue light Blocking Glasses'}),0.17411011865084655,0.0658578856152513,0.022930275963204905,0.13169984686064318,1.9997582010155557,0.01146375168463962,1.0758285726512185
frozenset({'FEIYOLD Blue light Blocking Glasses'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.0658578856152513,0.17411011865084655,0.022930275963204905,0.3481781376518219,1.999758201015556,0.01146375168463962,1.267048451510813
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Falcon Dust Off Compressed Gas'}),0.23836821757099053,0.05999200106652446,0.022796960405279298,0.09563758389261746,1.5941722595078303,0.0084967740425349,1.0394151528095574
frozenset({'Falcon Dust Off Compressed Gas'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.05999200106652446,0.23836821757099053,0.022796960405279298,0.38000000000000006,1.5941722595078303,0.0084967740425349,1.2284383587564671
