support,itemsets
0.011998400213304892,"frozenset({'Apple Lightning to Digital AV Adapter', 'SanDisk Ultra 64GB card'})"
0.011998400213304892,frozenset({'DisplayPort ot HDMI adapter'})
0.011998400213304892,"frozenset({'Anker USB C to HDMI Adapter', 'USB 2.0 Printer cable'})"
0.011998400213304892,"frozenset({'VIVO Dual LCD Monitor Desk mount', 'Dust-Off Compressed Gas 2 pack', 'Nylon Braided Lightning to USB cable'})"
0.011998400213304892,"frozenset({'HP 62XL Tri-Color ink', 'HP 61 ink'})"
0.011998400213304892,frozenset({'XPOWER A-2 Air Pump blower'})
0.011865084655379284,"frozenset({'Apple USB-C Charger cable', 'Falcon Dust Off Compressed Gas'})"
0.011865084655379284,"frozenset({'Stylus Pen for iPad', 'Syntech USB C to USB Adapter'})"
0.011865084655379284,"frozenset({'Apple USB-C Charger cable', 'Cat8 Ethernet Cable'})"
0.011865084655379284,"frozenset({'HP 62XL Tri-Color ink', 'Screen Mom Screen Cleaner kit'})"
0.011865084655379284,"frozenset({'HyperX Cloud Stinger Headset', 'VIVO Dual LCD Monitor Desk mount'})"
0.011731769097453673,"frozenset({'Apple Pencil', 'Premium Nylon USB Cable'})"
0.011731769097453673,"frozenset({'Anker USB C to HDMI Adapter', 'SanDisk Ultra 64GB card'})"
0.011598453539528063,"frozenset({'Dust-Off Compressed Gas 2 pack', 'HP 65 ink'})"
0.011598453539528063,"frozenset({'USB Type C Cable', 'HP 61 ink'})"
0.011465137981602452,frozenset({'SAMSUNG 256 GB card'})
0.011465137981602452,"frozenset({'VIVO Dual LCD Monitor Desk mount', 'Stylus Pen for iPad', 'Dust-Off Compressed Gas 2 pack'})"
0.011465137981602452,"frozenset({'SanDisk Ultra 64GB card', 'Logitech M510 Wireless mouse'})"
0.011465137981602452,"frozenset({'Screen Mom Screen Cleaner kit', 'Premium Nylon USB Cable'})"
0.011465137981602452,"frozenset({'Apple Lightning to Digital AV Adapter', 'Syntech USB C to USB Adapter'})"
0.011465137981602452,"frozenset({'Apple USB-C Charger cable', 'Logitech M510 Wireless mouse'})"
0.011465137981602452,frozenset({'Creative Pebble 2.0 Speakers'})
0.011331822423676844,"frozenset({'FEIYOLD Blue light Blocking Glasses', 'Nylon Braided Lightning to USB cable'})"
0.011331822423676844,"frozenset({'Screen Mom Screen Cleaner kit', 'Cat8 Ethernet Cable'})"
0.011331822423676844,"frozenset({'SanDisk Ultra 64GB card', 'SAMSUNG EVO 32GB card'})"
0.011331822423676844,"frozenset({'HP 61 ink', 'Cat8 Ethernet Cable'})"
0.011198506865751233,"frozenset({'SanDisk Ultra 128GB card', 'Apple USB-C Charger cable'})"
0.011198506865751233,"frozenset({'Anker USB C to HDMI Adapter', 'Logitech M510 Wireless mouse'})"
0.011065191307825623,"frozenset({'SanDisk Ultra 64GB card', 'Dust-Off Compressed Gas 2 pack', 'Screen Mom Screen Cleaner kit'})"
0.011065191307825623,"frozenset({'SanDisk Ultra 128GB card', 'Apple Pencil'})"
0.011065191307825623,"frozenset({'Apple Pencil', 'HP 63XL Ink'})"
0.011065191307825623,"frozenset({'USB 2.0 Printer cable', 'Falcon Dust Off Compressed Gas'})"
0.011065191307825623,"frozenset({'Dust-Off Compressed Gas 2 pack', 'Screen Mom Screen Cleaner kit', 'Nylon Braided Lightning to USB cable'})"
0.010931875749900012,"frozenset({'HP 61 ink', 'SanDisk Ultra 64GB card', 'Dust-Off Compressed Gas 2 pack'})"
0.010931875749900012,frozenset({'ARRIS SURFboard SB8200 Cable Modem'})
0.010931875749900012,"frozenset({'HP 61 ink', 'SAMSUNG EVO 32GB card'})"
0.010931875749900012,"frozenset({'VIVO Dual LCD Monitor Desk mount', 'HP 61 ink', 'Screen Mom Screen Cleaner kit'})"
0.010931875749900012,"frozenset({'VicTsing Wireless mouse', 'Dust-Off Compressed Gas 2 pack'})"
0.010931875749900012,"frozenset({'HP 62XL Tri-Color ink', 'Apple Pencil'})"
